BOOKING_ID,BOOKING_TYPE_NAME,PRODUCT_NAME,PLATFORM,CUSTOMER_ID,TRAVELER_ID,BOOKING_DATE,TRAVEL_START,TRAVEL_END,INVOICE_DATE,ONLINE_PURCHASE_FLAG,BOOKING_AMOUNT,SAVINGS_AMOUNT,TRANSACTION_COUNT,segment,segment_label,booking_month
128449040,Reserve,Car,Desktop,0,1657,2018-08-27,2018-10-18,2018-10-19,,True,321.3,0.0,8,0,At-Risk Customers,2018-08
144539334,Reserve,Car,Desktop,0,1200,2018-08-27,2018-09-04,2018-09-07,,True,1728.0,0.0,0,0,At-Risk Customers,2018-08
80297795,Reserve,Car,Desktop,0,1200,2018-08-27,2018-09-04,2018-09-05,,True,216.0,0.0,3,0,At-Risk Customers,2018-08
64500508,Reserve,Car,Desktop,0,1005,2018-09-05,2019-03-05,2019-03-12,,True,1726.34,0.0,1,0,At-Risk Customers,2018-09
96750564,Reserve,Car,Mobile,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,2389.5,0.0,4,0,At-Risk Customers,2018-09
16125188,Reserve,Car,Desktop,0,9858,2018-09-05,2019-03-05,2019-03-12,,True,1883.2,0.0,4,0,At-Risk Customers,2018-09
48432093,Reserve,Car,Desktop,0,9166,2018-09-07,2019-02-07,2019-02-14,,True,1187.55,0.0,3,0,At-Risk Customers,2018-09
31788940,Reserve,Car,Desktop,0,1199,2018-07-31,2018-08-06,2018-08-10,,True,427.84,0.0,7,0,At-Risk Customers,2018-07
32250178,Reserve,Car,Desktop,0,9858,2018-09-05,2019-03-05,2019-03-12,,True,2655.0,0.0,0,0,At-Risk Customers,2018-09
97299108,Reserve,Car,Desktop,0,1020,2018-09-17,2018-10-15,2018-10-17,,True,908.9,0.0,8,0,At-Risk Customers,2018-09
610031130,Reserve,Hotel,Mobile,1000,2536,2018-06-05,2018-07-05,2018-07-06,,True,1960.42,0.0,1,1,Loyal Champions,2018-06
281101545,Reserve,Hotel,Desktop,1000,6600,2018-02-26,2018-03-19,2018-03-20,,True,280.0,0.0,9,1,Loyal Champions,2018-02
62620094,Reserve,Hotel,Desktop,1000,1159,2018-07-30,2018-08-21,2018-08-23,,True,1717.38,0.0,8,1,Loyal Champions,2018-07
213543972,Reserve,Hotel,Desktop,1000,8274,2018-11-16,2018-12-12,2018-12-13,,True,869.88,0.0,9,1,Loyal Champions,2018-11
561574136,Reserve,Hotel,Desktop,1000,9744,2018-10-26,2018-11-06,2018-11-07,,True,824.16,0.0,3,1,Loyal Champions,2018-10
526444785,Reserve,Hotel,Desktop,1000,4285,2018-04-25,2018-05-22,2018-05-23,,True,1072.47,0.0,0,1,Loyal Champions,2018-04
142601796,Reserve,Hotel,Desktop,1000,2708,2018-11-20,2018-12-12,2018-12-13,,True,1450.3,0.0,1,1,Loyal Champions,2018-11
133633872,Reserve,Car,Desktop,1000,1192,2018-02-28,2018-03-01,2018-03-02,,True,1040.62,0.0,8,1,Loyal Champions,2018-02
536964462,Reserve,Hotel,Mobile,1000,1841,2018-05-29,2018-06-05,2018-06-06,,True,1328.94,0.0,9,1,Loyal Champions,2018-05
177700932,Reserve,Hotel,Desktop,1000,1159,2018-05-16,2018-05-28,2018-05-29,,True,1991.28,0.0,1,1,Loyal Champions,2018-05
109853482,Reserve,Hotel,Desktop,1000,6077,2018-01-21,2018-01-29,2018-01-30,,True,925.0,0.0,3,1,Loyal Champions,2018-01
132979186,Reserve,Hotel,Desktop,1000,1373,2018-10-16,2018-11-19,2018-11-21,,True,2624.72,0.0,3,1,Loyal Champions,2018-10
108825899,Reserve,Car,Desktop,1000,6600,2018-06-07,2018-07-02,2018-07-05,,True,2440.69,0.0,2,1,Loyal Champions,2018-06
170024211,Reserve,Hotel,Desktop,1000,1159,2018-03-08,2018-03-26,2018-03-29,,True,1376.82,0.0,3,1,Loyal Champions,2018-03
641581460,Reserve,Hotel,Desktop,1000,6658,2018-09-12,2018-10-02,2018-10-03,,True,330.12,0.0,3,1,Loyal Champions,2018-09
513908442,Reserve,Hotel,Desktop,1000,5276,2018-03-20,2018-06-19,2018-06-21,,True,1624.0,0.0,2,1,Loyal Champions,2018-03
377516526,Reserve,Hotel,Desktop,1000,1828,2018-08-07,2018-09-11,2018-09-13,,True,2187.08,0.0,7,1,Loyal Champions,2018-08
14625005,Reserve,Car,Desktop,1000,2708,2018-01-29,2018-01-31,2018-02-02,,True,1902.6,0.0,7,1,Loyal Champions,2018-01
370714728,Reserve,Hotel,Mobile,1000,1807,2018-07-03,2018-07-09,2018-07-12,,True,2993.67,0.0,8,1,Loyal Champions,2018-07
657049200,Reserve,Hotel,Desktop,1000,1192,2018-10-15,2018-11-20,2018-11-21,,True,635.96,0.0,6,1,Loyal Champions,2018-10
385134890,Reserve,Hotel,Desktop,1000,6658,2018-01-23,2018-02-05,2018-02-06,,True,660.24,0.0,5,1,Loyal Champions,2018-01
65430946,Reserve,Hotel,Mobile,1000,1841,2018-10-09,2018-10-16,2018-10-18,,True,2456.34,0.0,8,1,Loyal Champions,2018-10
184681632,Reserve,Hotel,Desktop,1000,6600,2018-06-07,2018-07-02,2018-07-03,,True,84.7,0.0,0,1,Loyal Champions,2018-06
570458824,Reserve,Hotel,Desktop,1000,8357,2018-11-20,2018-12-03,2018-12-04,,True,1417.36,0.0,1,1,Loyal Champions,2018-11
57719972,Reserve,Car,Desktop,1000,1192,2018-01-02,2018-01-17,2018-01-18,,True,173.0,0.0,7,1,Loyal Champions,2018-01
53433217,Reserve,Hotel,Desktop,1000,1192,2018-01-02,2018-01-17,2018-01-18,,True,580.0,0.0,2,1,Loyal Champions,2018-01
15213321,Reserve,Car,Desktop,1000,1192,2018-04-19,2018-05-02,2018-05-04,,True,937.72,0.0,4,1,Loyal Champions,2018-04
122014080,Reserve,Hotel,Mobile,1000,7468,2018-06-05,2018-07-05,2018-07-06,,True,2800.6,0.0,0,1,Loyal Champions,2018-06
56684344,Reserve,Hotel,Desktop,1000,6343,2018-03-08,2018-03-27,2018-03-28,,True,434.13,0.0,0,1,Loyal Champions,2018-03
121893320,Reserve,Hotel,Desktop,1000,5055,2018-05-31,2018-06-18,2018-06-19,,True,749.92,0.0,6,1,Loyal Champions,2018-05
30953392,Reserve,Car,Mobile,1000,6077,2018-05-29,2018-06-12,2018-06-13,,True,1136.8,0.0,2,1,Loyal Champions,2018-05
384709885,Reserve,Hotel,Desktop,1000,1159,2018-01-22,2018-01-30,2018-02-01,,True,1226.7,0.0,5,1,Loyal Champions,2018-01
582059385,Reserve,Hotel,Desktop,1000,5055,2018-09-24,2018-11-16,2018-11-17,,True,2015.3,0.0,2,1,Loyal Champions,2018-09
118447940,Reserve,Hotel,Mobile,1000,4285,2018-05-16,2018-06-19,2018-06-21,,True,1282.08,0.0,7,1,Loyal Champions,2018-05
166655991,Reserve,Hotel,Desktop,1000,6600,2018-02-07,2018-03-07,2018-03-08,,True,560.0,0.0,4,1,Loyal Champions,2018-02
116801872,Reserve,Hotel,Desktop,1000,1159,2018-04-23,2018-06-25,2018-06-27,,True,780.87,0.0,5,1,Loyal Champions,2018-04
639271060,Reserve,Hotel,Desktop,1000,2136,2018-09-06,2018-09-23,2018-09-26,,True,1554.69,0.0,5,1,Loyal Champions,2018-09
44981154,Reserve,Car,Desktop,1000,1192,2018-03-20,2018-04-03,2018-04-04,,True,700.56,0.0,4,1,Loyal Champions,2018-03
377482494,Reserve,Hotel,Desktop,1000,8236,2018-08-07,2018-09-11,2018-09-13,,True,2187.08,0.0,1,1,Loyal Champions,2018-08
527276574,Reserve,Hotel,Desktop,1000,9744,2018-04-27,2018-05-23,2018-05-24,,True,845.32,0.0,3,1,Loyal Champions,2018-04
339739836,Reserve,Hotel,Desktop,1000,1732,2018-03-07,2018-03-13,2018-03-14,,True,508.6,0.0,6,1,Loyal Champions,2018-03
148831605,Reserve,Car,Desktop,1000,5055,2018-10-31,2018-11-05,2018-11-07,,True,267.4,0.0,5,1,Loyal Champions,2018-10
482548455,Reserve,Hotel,Desktop,1000,5055,2018-01-08,2018-01-25,2018-01-26,,True,623.0,0.0,3,1,Loyal Champions,2018-01
47116962,Reserve,Car,Desktop,1000,7712,2018-07-02,2018-07-05,2018-07-05,,True,83.14,0.0,6,1,Loyal Champions,2018-07
58826056,Reserve,Car,Desktop,1000,5055,2018-02-08,2018-02-12,2018-02-12,,True,285.12,0.0,3,1,Loyal Champions,2018-02
279339555,Reserve,Hotel,Desktop,1000,9744,2018-02-15,2018-03-20,2018-03-22,,True,3462.21,0.0,4,1,Loyal Champions,2018-02
498082732,Reserve,Hotel,Desktop,1000,8350,2018-11-16,2018-12-02,2018-12-06,,True,3328.0,0.0,0,1,Loyal Champions,2018-11
291969660,Reserve,Hotel,Desktop,1000,1159,2018-04-23,2018-05-22,2018-05-25,,True,1678.2,0.0,0,1,Loyal Champions,2018-04
552552320,Reserve,Hotel,Desktop,1000,6077,2018-01-30,2018-02-19,2018-02-21,,True,729.92,0.0,9,1,Loyal Champions,2018-01
100934520,Reserve,Car,Desktop,1000,1417,2018-12-17,2018-12-18,2018-12-19,,True,459.92,0.0,9,1,Loyal Champions,2018-12
451505640,Reserve,Hotel,Desktop,1000,6600,2018-03-02,2018-04-10,2018-04-11,,True,168.0,0.0,0,1,Loyal Champions,2018-03
442044096,Reserve,Hotel,Desktop,1000,3042,2018-01-30,2018-02-18,2018-02-21,,True,3744.54,0.0,7,1,Loyal Champions,2018-01
593229790,Reserve,Hotel,Desktop,1000,1518,2018-05-18,2018-06-04,2018-06-07,,True,1838.48,0.0,1,1,Loyal Champions,2018-05
83022275,Reserve,Car,Desktop,1000,8117,2018-11-09,2018-12-04,2018-12-04,,True,498.2,0.0,5,1,Loyal Champions,2018-11
176922939,Reserve,Hotel,Desktop,1000,6600,2018-05-09,2018-06-12,2018-06-13,,True,540.0,0.0,5,1,Loyal Champions,2018-05
416944619,Reserve,Hotel,Desktop,1000,6600,2018-05-25,2018-06-25,2018-06-26,,True,285.0,0.0,5,1,Loyal Champions,2018-05
443924327,Reserve,Hotel,Desktop,1000,6600,2018-08-23,2018-09-05,2018-09-06,,True,1035.0,0.0,6,1,Loyal Champions,2018-08
591192370,Reserve,Hotel,Desktop,1000,7321,2018-05-14,2018-06-04,2018-06-06,,True,1752.3,0.0,3,1,Loyal Champions,2018-05
305020580,Reserve,Hotel,Desktop,1000,4721,2018-06-05,2018-06-27,2018-06-28,,True,1236.24,0.0,8,1,Loyal Champions,2018-06
524974312,Reserve,Hotel,Mobile,1000,5416,2018-10-12,2018-10-17,2018-10-18,,True,1155.42,0.0,9,1,Loyal Champions,2018-10
720627740,Reserve,Hotel,Desktop,1000,1192,2018-12-07,2019-11-04,2019-11-07,,True,3843.0,0.0,0,1,Loyal Champions,2018-12
426946872,Reserve,Hotel,Desktop,1000,1294,2018-11-16,2018-12-02,2018-12-06,,True,2080.0,0.0,6,1,Loyal Champions,2018-11
569252328,Reserve,Hotel,Mobile,1000,3485,2018-11-16,2018-12-02,2018-12-06,,True,832.0,0.0,3,1,Loyal Champions,2018-11
711573170,Reserve,Hotel,Desktop,1000,2338,2018-11-16,2018-12-02,2018-12-06,,True,3744.0,0.0,0,1,Loyal Champions,2018-11
712505610,Reserve,Hotel,Desktop,1000,7418,2018-11-19,2018-12-04,2018-12-05,,True,1571.4,0.0,2,1,Loyal Champions,2018-11
103941110,Reserve,Car,Desktop,1000,1192,2018-02-28,2018-03-20,2018-03-21,,True,68.69,0.0,2,1,Loyal Champions,2018-02
56530669,Reserve,Hotel,Desktop,1000,2136,2018-03-05,2018-04-16,2018-04-17,,True,849.48,0.0,1,1,Loyal Champions,2018-03
549215883,Reserve,Hotel,Desktop,1000,5416,2018-06-07,2018-06-11,2018-06-13,,True,1896.0,0.0,0,1,Loyal Champions,2018-06
94379868,Reserve,Car,Desktop,1000,1192,2018-07-05,2018-07-27,2018-07-27,,True,1337.92,0.0,9,1,Loyal Champions,2018-07
304713710,Reserve,Hotel,Desktop,1000,5055,2018-05-31,2018-06-18,2018-06-19,,True,374.96,0.0,7,1,Loyal Champions,2018-05
335456496,Reserve,Hotel,Desktop,1000,2385,2018-02-16,2018-02-20,2018-02-21,,True,283.16,0.0,7,1,Loyal Champions,2018-02
281114070,Reserve,Hotel,Desktop,1000,6600,2018-02-26,2018-03-20,2018-03-21,,True,747.0,0.0,7,1,Loyal Champions,2018-02
196840581,Reserve,Hotel,Desktop,1000,7604,2018-10-12,2018-10-17,2018-10-18,,True,1155.42,0.0,2,1,Loyal Champions,2018-10
590634999,Reserve,Hotel,Desktop,1000,8117,2018-10-12,2018-10-22,2018-10-24,,True,298.0,0.0,3,1,Loyal Champions,2018-10
453423552,Reserve,Hotel,Desktop,1000,2136,2018-03-08,2018-03-25,2018-03-29,,True,1343.66,0.0,9,1,Loyal Champions,2018-03
146071863,Reserve,Car,Desktop,1000,6600,2018-09-19,2018-11-14,2018-11-17,,True,2573.55,0.0,2,1,Loyal Champions,2018-09
507328264,Reserve,Hotel,Desktop,1000,6600,2018-08-23,2018-09-06,2018-09-07,,True,480.0,0.0,5,1,Loyal Champions,2018-08
104609617,Reserve,Car,Desktop,1000,7712,2018-03-13,2018-03-14,2018-03-15,,True,698.64,0.0,7,1,Loyal Champions,2018-03
427531349,Reserve,Hotel,Desktop,1000,7418,2018-06-12,2018-07-17,2018-07-18,,True,159.37,0.0,4,1,Loyal Champions,2018-06
369482040,Reserve,Hotel,Desktop,1000,1323,2018-06-14,2018-06-19,2018-06-20,,True,1015.77,0.0,1,1,Loyal Champions,2018-06
116982432,Reserve,Car,Mobile,1000,1316,2018-11-27,2018-11-28,2018-11-29,,True,234.9,0.0,7,1,Loyal Champions,2018-11
117224198,Reserve,Car,Desktop,1000,7712,2018-12-03,2018-12-03,2018-12-05,,True,1189.7,0.0,4,1,Loyal Champions,2018-12
128273824,Reserve,Car,Desktop,1000,6600,2018-08-23,2018-09-10,2018-09-12,,True,1685.04,0.0,8,1,Loyal Champions,2018-08
656973040,Reserve,Hotel,Desktop,1000,9744,2018-10-15,2018-11-20,2018-11-21,,True,1271.92,0.0,1,1,Loyal Champions,2018-10
237725176,Reserve,Hotel,Desktop,1000,2708,2018-05-22,2018-06-06,2018-06-08,,True,1463.94,0.0,0,1,Loyal Champions,2018-05
115297154,Reserve,Car,Desktop,1000,7854,2018-10-22,2018-11-20,2018-11-21,,True,191.19,0.0,2,1,Loyal Champions,2018-10
130484854,Reserve,Hotel,Desktop,1000,2563,2018-10-04,2018-11-16,2018-11-17,,True,201.53,0.0,1,1,Loyal Champions,2018-10
212235342,Reserve,Hotel,Desktop,1000,5276,2018-11-07,2018-11-22,2018-11-23,,True,650.0,0.0,4,1,Loyal Champions,2018-11
117479472,Reserve,Hotel,Mobile,1000,5055,2018-05-02,2018-05-31,2018-06-01,,True,387.0,0.0,3,1,Loyal Champions,2018-05
92982546,Reserve,Car,Mobile,1000,3205,2018-05-31,2018-06-26,2018-06-28,,True,1346.38,0.0,6,1,Loyal Champions,2018-05
571227849,Reserve,Hotel,Desktop,1000,4699,2018-08-24,2018-09-24,2018-09-26,,True,2623.95,0.0,4,1,Loyal Champions,2018-08
57820682,Reserve,Hotel,Desktop,1000,7019,2018-04-09,2018-04-09,2018-04-11,,True,3130.82,0.0,6,1,Loyal Champions,2018-04
237018168,Reserve,Hotel,Desktop,1000,1828,2018-05-17,2018-06-05,2018-06-07,,True,279.0,0.0,3,1,Loyal Champions,2018-05
591339312,Reserve,Hotel,Mobile,1000,1370,2018-10-15,2018-11-20,2018-11-21,,True,1589.9,0.0,8,1,Loyal Champions,2018-10
48124383,Reserve,Car,Mobile,1000,7321,2018-08-24,2018-09-03,2018-09-06,,True,1196.1,0.0,6,1,Loyal Champions,2018-08
579064374,Reserve,Hotel,Desktop,1000,1159,2018-09-17,2018-10-09,2018-10-10,,True,1612.8,0.0,7,1,Loyal Champions,2018-09
227768996,Reserve,Hotel,Desktop,1000,6829,2018-03-15,2018-04-09,2018-04-10,,True,673.75,0.0,1,1,Loyal Champions,2018-03
58416394,Reserve,Hotel,Desktop,1000,6600,2018-04-24,2018-05-03,2018-05-04,,True,800.0,0.0,8,1,Loyal Champions,2018-04
529158555,Reserve,Hotel,Desktop,1000,5068,2018-05-03,2018-05-23,2018-05-25,,True,1762.88,0.0,5,1,Loyal Champions,2018-05
112826988,Reserve,Hotel,Desktop,1000,7854,2018-03-01,2018-04-05,2018-04-07,,True,876.28,0.0,0,1,Loyal Champions,2018-03
88593984,Reserve,Car,Desktop,1000,1192,2018-02-16,2018-03-01,2018-03-02,,True,1005.9,0.0,9,1,Loyal Champions,2018-02
54926742,Reserve,Hotel,Desktop,1000,6077,2018-01-21,2018-02-12,2018-02-14,,True,2919.68,0.0,6,1,Loyal Champions,2018-01
174039198,Reserve,Hotel,Desktop,1000,1442,2018-04-13,2018-04-26,2018-04-27,,True,1011.87,0.0,5,1,Loyal Champions,2018-04
465191968,Reserve,Hotel,Desktop,1000,5416,2018-04-17,2018-04-23,2018-04-24,,True,921.97,0.0,5,1,Loyal Champions,2018-04
305926585,Reserve,Hotel,Desktop,1000,1192,2018-06-22,2018-06-26,2018-06-27,,True,991.06,0.0,5,1,Loyal Champions,2018-06
161279020,Reserve,Car,Desktop,1000,4721,2018-09-06,2018-09-25,2018-09-25,,True,155.06,0.0,3,1,Loyal Champions,2018-09
119760712,Reserve,Car,Desktop,1000,4721,2018-03-16,2018-03-20,2018-03-21,,True,598.02,0.0,3,1,Loyal Champions,2018-03
529093494,Reserve,Hotel,Desktop,1000,5065,2018-05-03,2018-05-23,2018-05-25,,True,881.44,0.0,6,1,Loyal Champions,2018-05
524959768,Reserve,Hotel,Desktop,1000,8117,2018-10-12,2018-10-22,2018-10-23,,True,199.5,0.0,0,1,Loyal Champions,2018-10
532525704,Reserve,Hotel,Desktop,1000,1159,2018-10-17,2018-11-05,2018-11-08,,True,967.23,0.0,8,1,Loyal Champions,2018-10
127572454,Reserve,Hotel,Desktop,1000,2059,2018-09-04,2018-12-09,2018-12-13,,True,1189.8,0.0,2,1,Loyal Champions,2018-09
49214136,Reserve,Car,Desktop,1000,6600,2018-10-12,2018-11-07,2018-11-09,,True,1847.84,0.0,2,1,Loyal Champions,2018-10
527770989,Reserve,Hotel,Desktop,1000,1192,2018-04-30,2018-05-23,2018-05-24,,True,2060.64,0.0,2,1,Loyal Champions,2018-04
107158345,Reserve,Car,Mobile,1000,1316,2018-05-03,2018-05-28,2018-06-01,,True,1162.44,0.0,4,1,Loyal Champions,2018-05
183561921,Reserve,Hotel,Desktop,1000,1732,2018-06-22,2018-07-17,2018-07-19,,True,2349.6,0.0,0,1,Loyal Champions,2018-06
232581132,Reserve,Hotel,Desktop,1000,9744,2018-04-17,2018-04-25,2018-04-26,,True,1525.12,0.0,4,1,Loyal Champions,2018-04
284722160,Reserve,Hotel,Desktop,1000,7854,2018-11-16,2018-12-12,2018-12-13,,True,896.84,0.0,7,1,Loyal Champions,2018-11
569683360,Reserve,Hotel,Desktop,1000,4721,2018-03-16,2018-03-20,2018-03-21,,True,372.0,0.0,5,1,Loyal Champions,2018-03
63908588,Reserve,Hotel,Desktop,1000,6600,2018-09-06,2018-09-25,2018-09-26,,True,810.0,0.0,0,1,Loyal Champions,2018-09
80495245,Reserve,Car,Desktop,1000,1192,2018-09-03,2018-09-20,2018-09-20,,True,167.76,0.0,6,1,Loyal Champions,2018-09
428986362,Reserve,Hotel,Desktop,1000,1192,2018-11-26,2018-12-18,2018-12-19,,True,475.0,0.0,7,1,Loyal Champions,2018-11
574789030,Reserve,Hotel,Desktop,1000,8236,2018-03-30,2018-04-04,2018-04-05,,True,293.44,0.0,1,1,Loyal Champions,2018-03
235169532,Reserve,Hotel,Desktop,1000,4699,2018-05-03,2018-05-22,2018-05-23,,True,2445.48,0.0,1,1,Loyal Champions,2018-05
429753640,Reserve,Hotel,Desktop,1000,9699,2018-01-10,2018-01-17,2018-01-18,,True,154.0,0.0,2,1,Loyal Champions,2018-01
428942128,Reserve,Hotel,Desktop,1000,5055,2018-01-08,2018-01-25,2018-01-26,,True,801.0,0.0,2,1,Loyal Champions,2018-01
195480324,Reserve,Hotel,Desktop,1000,5416,2018-10-03,2018-10-16,2018-10-17,,True,1108.8,0.0,8,1,Loyal Champions,2018-10
511818760,Reserve,Hotel,Desktop,1000,5815,2018-09-07,2018-09-26,2018-09-28,,True,374.96,0.0,4,1,Loyal Champions,2018-09
254148232,Reserve,Hotel,Desktop,1000,1841,2018-08-27,2018-09-11,2018-09-12,,True,372.0,0.0,4,1,Loyal Champions,2018-08
451384984,Reserve,Hotel,Desktop,1000,7854,2018-03-01,2018-04-01,2018-04-03,,True,1766.88,0.0,3,1,Loyal Champions,2018-03
533917188,Reserve,Hotel,Desktop,1000,7019,2018-05-18,2018-05-24,2018-05-25,,True,1874.8,0.0,3,1,Loyal Champions,2018-05
29210380,Reserve,Car,Desktop,1000,3205,2018-01-25,2018-02-21,2018-02-22,,True,1350.7,0.0,2,1,Loyal Champions,2018-01
569455980,Reserve,Hotel,Desktop,1000,2536,2018-03-15,2018-06-20,2018-06-21,,True,1415.8,0.0,2,1,Loyal Champions,2018-03
71656495,Reserve,Hotel,Mobile,1000,5055,2018-11-28,2018-12-06,2018-12-08,,True,1170.0,0.0,7,1,Loyal Champions,2018-11
360836600,Reserve,Hotel,Desktop,1000,7712,2018-12-11,2019-01-21,2019-01-23,,True,1330.0,0.0,5,1,Loyal Champions,2018-12
88837062,Reserve,Car,Desktop,1000,6600,2018-02-22,2018-04-09,2018-04-13,,True,555.0,0.0,2,1,Loyal Champions,2018-02
574255908,Reserve,Hotel,Desktop,1000,8236,2018-09-04,2018-10-01,2018-10-03,,True,3266.55,0.0,3,1,Loyal Champions,2018-09
146634250,Reserve,Car,Desktop,1000,6600,2018-02-02,2018-03-26,2018-03-30,,True,974.15,0.0,5,1,Loyal Champions,2018-02
350392920,Reserve,Hotel,Desktop,1000,1159,2018-04-23,2018-06-18,2018-06-21,,True,1006.92,0.0,8,1,Loyal Champions,2018-04
53763176,Reserve,Hotel,Desktop,1000,1732,2018-01-11,2018-02-01,2018-02-02,,True,475.0,0.0,9,1,Loyal Champions,2018-01
523321839,Reserve,Hotel,Desktop,1000,1192,2018-04-17,2018-04-25,2018-04-26,,True,571.92,0.0,8,1,Loyal Champions,2018-04
63348819,Reserve,Hotel,Mobile,1000,7418,2018-08-21,2018-09-04,2018-09-06,,True,3121.5,0.0,1,1,Loyal Champions,2018-08
500083352,Reserve,Hotel,Desktop,1000,8274,2018-07-25,2018-09-04,2018-09-05,,True,424.74,0.0,6,1,Loyal Champions,2018-07
383303976,Reserve,Hotel,Desktop,1000,1828,2018-09-05,2018-10-02,2018-10-04,,True,932.28,0.0,6,1,Loyal Champions,2018-09
334887648,Reserve,Hotel,Desktop,1000,4285,2018-02-14,2018-03-20,2018-03-22,,True,4190.67,0.0,9,1,Loyal Champions,2018-02
